title	author	body
寄台湾巡使六给事，二首之一	伊福讷	东华尘土应怜我，南海烟霞尽属君。惆怅暮春好时节，白沙红树草连云。
寄台湾巡使六给事，二首之二	伊福讷	浴日扶桑迥绝伦，花繁官阁静无尘。海天对月闲吟际，好报平安慰故人。（施懿琳编校）※
吊殉节五妃墓	何借宜	寒烟碧草暗离披，隐隐高原见古碑。谩说从人皆妾妇，应夸死义是男儿。一缳未解王孙恨，千载犹闻鬼子悲。异域天荒开世运，五常还自五人持。
雨后口占	何借宜	山山浮翠远，处处落红深。独立柴门外，长歌托素心。
台阳八景	余延良	苍茫岛屿露巉岩，蟹舍渔村落日衔。一棹烟波藏巨镇，海天无际送归帆。
台阳八景	余延良	荡缨标子竖横沙，的砾红灯灿落霞。久息欃枪歌乐利，浪花深处有渔家。
台阳八景	余延良	泱漭天然设险奇，激轮翻轴拍厜厂义。当关风卷桃花浪，闻说王师直入时。
台阳八景	余延良	圆锐孤悬蜃窟中，漫漫堆玉耸穹窿。谁知暖日炎荒地，也与匡庐景色同。
台阳八景	余延良	晨曦潋滟恰东升，万里鲸波晓雾蒸。欲捧晴晖霄汉近，赤嵌城畔紫云腾。
台阳八景	余延良	散绮依稀天半晴，却从西屿望分明。轩轩欲举翻斜照，目送高标下赤城。
台阳八景	余延良	迤涎浡潏竞公洄，极目洪涛亦壮哉。谁学元虚重作赋，浮天无岸一登台。
台阳八景	余延良	萧森清影罩幽亭，畅好涛声倚槛听。好似钱塘秋八月，濆沦澎濞鼓雷霆。
自题渡海图，二首之一	余文仪	一舟似芥托波澜，水立风驰洵大观。日月吐吞成四照，江河羞涩等微湍。举头但觉星辰近，放眼从知天地宽。便欲乘帆溯牛斗，珠光龙气试回看。
自题渡海图，二首之二	余文仪	真成宦海任西东，回首萍踪一瞬中。十载含香闻三省，五年樵鹤肃双熊。可能文字驱潜鳄，赖有精诚贯白虹。身入画图期共济，肯将华发负初衷。
恭和御赐杨制府诗原韵有序，四首之一	余文仪	翠华重幸日，瑞气霭龙牙。元老频承宠，宸章特赐嘉。调和归静穆，暑雨绝咨嗟。共仰明良会，唐虞岂有加。
恭和御赐杨制府诗原韵有序，四首之二	余文仪	一字同华衮，天香遍齿牙。光辉悬日月，矍铄入褒嘉。边海安持重，经纶但咄嗟。愿言崇令德，君赐看重加。
恭和御赐杨制府诗原韵有序，四首之三	余文仪	东南形胜地，城阙似排牙。德遍久无斁，恩承新孔嘉。秀登甲乙选，野静癸庚嗟。遥识吾王豫，畴咨无可加。
恭和御赐杨制府诗原韵有序，四首之四	余文仪	赓歌千古盛，巴里愧聱牙。共喜鲸波伏，难忘棠荫嘉。空持观水术，不觉望洋嗟。击壤聊同调，殊恩分外加。
