<begin>	1	人事类
1	不寝	衾寒 灯残 虫鸣 夜永 枕冷 月落 雁叫 愁多 俏俏 漏月 寒月尽 催诗急 饥鼠眠床 不成蝶化 残砧数家月 空壁闻虫唧 耿耿 曼夜 晓漏迟 聒耳明 惊乌啼月 怕听虫鸣 疏柳几枝烟 高楼过雁声 自知吟更苦 鳏鱼不闭目 独有坐如神 惊鹊未安枝
2	月下饮	对影 饮酒 作诗 吟诗 吊影 寒光 素海 露凉 清风 对月 刘伶醉 金镜玉壶 风传鼓角 临风整环佩 无尘 爽气 金波 月冷 明月 衔杯 李白歌 碧天银漏 云卷笙歌 邀月入金樽 镜光浮素魄 月凉衣有露 素光寒眇眇 杯影泻金波 风静座无尘 高兴夜漫漫
3	夜宴	暗花 银烛 更深 翠幕 秉烛 绝歌 酒令 凤烛 红蜡 绮罗 酒樽 风生席 明月 金樽 酒尽 绮筵 传杯 妙舞 诗筹 蛾眉 青坛 灯烛 星斗 月满楼 排银烛 更漏促 笙歌沸 主人投辖 杯浮细浪 令罚抗歌 银竹树前 银龙衔烛影 树玉山 管弦清 锦绮明 痴客绝缨 灯结繁花 诗成醉骂 露桃花下 金凤起炉烟 巨觥欣举白 检书烧烛短 玉容歌白雪 有欢常尽量 富贵春无限 尽烛受深红 看佛引杯长 红烛照朱衣 不醉亦无归 欢娱夜未央
4	咾饮	挈榼 檀耳 五斗 一石 瓮下 留佩 提壶 酒泉 千杯 千钴 墟边 辞沼 杜瓮 奋髯 翔车 觉沈带 酒功圣 槐河枕 枕麴携壶 操卮投辖 露颓 洗杓倾浓玉 阮兵 腐加田 钱后 寓酒樽 醉卿宽 竹叶杯 藉杯荷插 倾玉执觚 流涎 衔杯吸怒潮 身外唯须醉 放歌悲世隘 五斗助吟兴 脯歠临糟瓦 人间不足愁 长啸寄天游 千盅入醉乡 流涎见麴车
5	昼寝	曲肱 黑甜 抛书 局卧 便腹 黄奶 寻梦 困眠 鸣雷 黾息 高枕 梦蕉 酒浓 春醒 日当午 半帘晴日 青奴初荐枕 尼父肱初曲 梦蝶 雷鸣 歌眠 讼鹿 睡美 午梦 梦正甜 一枕清风 黄奶亦井堂 边韶腹正便 烟袅金炉翠 北雁风清处 竹鸡啼正午 帘垂花院深 南柯梦熟时 蝴蝶梦初甜
6	闲适	雅趣 步履 花径 风月 高情 携笻 水村 江山 琴书 琴随 畅酒 垂帘 坐久 花日 吟笔 开轩 歌枕 数落花 诗分匙僻 得意诗长好 诗酒 鹤伴 高眠 把钓 归迟 松风 醉茵 灌竹 看云 寻芳草 棋下子迟 逢时酒不虚 苔径闲搜句 雅趣钱神外 青山扪虱坐 树浮青嶂出 拂簟承花落 茅檐坐看山 高情酒圣中 黄鸟枕书眠 江带白云流 开帘待燕归
7	感慨	感时 心折 揽镜 思恨 愁容 往事 昼梦 白头 落日 存殁 白塔 动归兴 恨别 骨惊 闻砧 飘零 归兴 流年 晚愁 青鬓 断霞 古今 荒城 感中年 难成醉 年年恨 心欲折 人情似纸 楚客登临 可以语人 寝园寂寞 拭泪沾襟血 易断魂 日日生 鬓未明 世事如棋 谢公哀乐 不如意事 行殿荒凉 梳头满面丝 冻鹤连岩雪 烽火苍茫外 苦调琴先觉 感时花溅泪 愁人半夜砧 江山感慨中 愁客镜独如 恨别鸟惊心
8	梦	冰上 斋中 漏尽 生松 南柯 华胥 室南 枕上 魂交 落鸟 春草 槐国 蝴蝶 蝶化 栩栩 晴窗 忘形 笔授江淹 忘形空栩栩 魂散三千里 一枕魂初散 熊罴 神交 蘧蘧 午梦 适意 草生灵运 适志正悠悠 神交八百秋 三竿影尚侵 槐市三竿日 依稀闻漏尽 化为漆园史 鸡鸣频唤舞 荷亭一枕风 仿佛已神交 飞入大槐宫 蝶梦不成庄
9	醉	千日 幕天 倒载 醉 渴心 百壶 席地 狂歌 梦中 醉眼 垆中倒 金斝酒 岂辞金斝汨 醉把青荷叶 醉客从为客 把盏防贪醉 瓮下眠 玉山颓 那恰玉山颓 狂遭白接曰离 诗成觉有成 摊书作饮筹
10	独酌	孤国 无伴 自饮 忘言 一壶 自酌 兀兀 自把 壶觞 悠然一斗 春光生两胁 五斗 人忙 陶陶 独怜 酣饮 美矣三杯 月影照孤樽
